X,budget,company,country,director,genre,gross,name,rating,release_month,runtime,score,star,votes,writer,year,budget_missing,region,direc_freq,comp_freq,season,id,afinn_score,sentiment_best,writer_count,writer_popularity,director_count,director_popularity,star_count,star_popularity
6271,28000000,1984 Private Defense Contractors,USA,Scott Frank,Crime,26307600,A Walk Among the Tombstones,R,9,114,6.5,Liam Neeson,95753,Lawrence Block,2014,0,North America,1.0986122886681098,0.6931471805599453,Fall,6271,0,0,3,4,2,2,20,5
6272,21000000,Les Films Séville,Canada,Xavier Dolan,Drama,3492754,Mommy,R,1,139,8.1,Anne Dorval,35841,Xavier Dolan,2014,1,North America,1.0986122886681098,0.6931471805599453,Winter,6272,0,0,2,4,2,2,1,2
6273,21000000,BBC Films,UK,Morgan Matthews,Drama,139511,A Brilliant Young Mind,PG-13,9,111,7.2,Asa Butterfield,22615,James Graham,2014,1,Western Europe,0.6931471805599453,3.332204510175204,Fall,6273,4,4,1,3,1,1,3,2
6274,5000000,Lutzus-Brown,USA,Richard Glatzer,Drama,18754371,Still Alice,PG-13,2,101,7.5,Julianne Moore,101773,Richard Glatzer,2014,0,North America,0.6931471805599453,0.6931471805599453,Winter,6274,0,0,1,3,1,1,11,4
6275,70000000,Columbia Pictures,USA,George Clooney,Drama,78031620,The Monuments Men,PG-13,2,118,6.1,George Clooney,109977,George Clooney,2014,0,North America,1.791759469228055,4.6913478822291435,Winter,6275,0,0,3,4,5,4,22,5
6276,21000000,Ulrich Seidl Film Produktion GmbH,Austria,Severin Fiala,Horror,1168902,Goodnight Mommy,R,9,99,6.7,Lukas Schwarz,29190,Veronika Franz,2014,1,Western Europe,0.6931471805599453,0.6931471805599453,Fall,6276,0,0,2,4,1,1,1,2
6277,21000000,BBC Films,UK,Alan Rickman,Drama,551609,A Little Chaos,R,6,112,6.5,Kate Winslet,15294,Jeremy Brock,2014,1,Western Europe,0.6931471805599453,3.332204510175204,Summer,6277,-2,-2,3,4,1,1,8,4
6278,4000000,Automatik Entertainment,USA,William Eubank,Sci-Fi,600896,The Signal,PG-13,7,97,6.1,Brenton Thwaites,53291,Carlyle Eubank,2014,0,North America,0.6931471805599453,1.0986122886681098,Summer,6278,0,0,1,3,1,1,3,2
6279,55000000,StudioCanal,UK,Paul King,Animation,76223578,Paddington,PG,1,95,7.2,Hugh Bonneville,56480,Paul King,2014,0,Western Europe,0.6931471805599453,2.9444389791664403,Winter,6279,0,0,1,3,1,1,1,2
6280,7000000,Cinelou Films,USA,Daniel Barnz,Drama,1873547,Cake,R,1,102,6.4,Jennifer Aniston,30337,Patrick Tobin,2014,0,North America,1.0986122886681098,1.3862943611198906,Winter,6280,0,0,1,3,2,2,14,4
6281,4500000,Pt. Merantau Films,Indonesia,Gareth Evans,Action,2625803,The Raid 2,R,4,150,8,Iko Uwais,93993,Gareth Evans,2014,0,Southeast Asia,1.0986122886681098,1.0986122886681098,Spring,6281,0,0,2,4,2,2,2,2
6282,5000000,Universal Pictures,Japan,Stiles White,Horror,50856010,Ouija,PG-13,10,89,4.5,Olivia Cooke,39099,Juliet Snowden,2014,0,East Asia,0.6931471805599453,5.713732805509369,Fall,6282,0,0,2,4,1,1,1,2
6283,65000000,Hopscotch Features,USA,Stuart Beattie,Action,19075290,"I, Frankenstein",PG-13,1,92,5.1,Aaron Eckhart,70705,Stuart Beattie,2014,0,North America,0.6931471805599453,0.6931471805599453,Winter,6283,0,0,5,5,1,1,7,3
6284,20000000,Pathé,UK,Ava DuVernay,Biography,52076908,Selma,PG-13,1,128,7.5,David Oyelowo,69760,Paul Webb,2014,0,Western Europe,0.6931471805599453,1.9459101490553132,Winter,6284,0,0,1,3,1,1,2,2
6285,21000000,Lagniappe Films,Germany,Peter Bogdanovich,Comedy,88460,Enredos en Broadway,R,8,93,6.1,Imogen Poots,19802,Peter Bogdanovich,2014,1,Western Europe,1.9459101490553132,0.6931471805599453,Summer,6285,0,0,1,3,6,4,1,2
6286,21000000,Element Pictures,UK,Lenny Abrahamson,Comedy,644906,Frank,R,9,95,7,Michael Fassbender,62768,Jon Ronson,2014,1,Western Europe,1.0986122886681098,1.0986122886681098,Fall,6286,0,0,2,4,2,2,9,4
6287,21000000,Beofilm,Sweden,Ruben Östlund,Comedy,1358561,Fuerza mayor,R,12,120,7.3,Johannes Kuhnke,34232,Ruben Östlund,2014,1,Northern Europe,0.6931471805599453,0.6931471805599453,Winter,6287,0,0,1,3,1,1,1,2
6288,16000000,EuropaCorp,USA,Tommy Lee Jones,Drama,2428883,The Homesman,R,5,122,6.6,Tommy Lee Jones,24489,Tommy Lee Jones,2014,0,North America,1.0986122886681098,3.367295829986474,Spring,6288,0,0,1,3,2,2,14,4
6289,19000000,Gail Katz Productions,USA,Edward Zwick,Biography,2436062,Pawn Sacrifice,PG-13,9,115,7,Tobey Maguire,29268,Steven Knight,2014,0,North America,2.5649493574615367,0.6931471805599453,Fall,6289,0,0,9,5,12,5,8,4
6290,21000000,Timnick Films,UK,Hossein Amini,Romance,506067,The Two Faces of January,PG-13,8,96,6.2,Viggo Mortensen,24842,Hossein Amini,2014,1,Western Europe,0.6931471805599453,0.6931471805599453,Summer,6290,0,0,4,5,1,1,5,3
6291,16000000,Stoney Lake Entertainment,USA,Vic Armstrong,Action,13998282,Left Behind,PG-13,10,110,3.1,Nicolas Cage,28203,Jerry B. Jenkins,2014,0,North America,0.6931471805599453,0.6931471805599453,Fall,6291,0,0,1,3,1,1,42,5
6292,21000000,Armory Films,USA,Jordan Rubin,Comedy,8163,Zombeavers,R,3,77,4.8,Rachel Melvin,12863,Al Kaplan,2014,1,North America,0.6931471805599453,0.6931471805599453,Spring,6292,0,0,1,3,1,1,1,2
